page,product_name,price,link
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Oversize short sleeve T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5003/300/438/5003300438_1_1_3.jpg?t=1687934786403
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ribbed V-neck sweater,69,https://static.lefties.com/9/photos2/2023/I/0/1/p/5623/314/064/5623314064_1_1_3.jpg?t=1687439533634
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Stretch top with thin straps.,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5123/328/623/5123328623_1_1_3.jpg?t=1687271945731
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Rustic T-shirt in two materials,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/358/250/1001358250_1_1_3.jpg?t=1687249816029
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Short sleeve printed T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/378/600/1001378600_1_1_3.jpg?t=1681985522048
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 racerback T-shirts,39,null
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ribbed V-neck sweater,69,https://static.lefties.com/9/photos2/2023/I/0/1/p/5623/314/800/5623314800_1_1_3.jpg?t=1687439533634
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ribbed V-neck sweater,69,https://static.lefties.com/9/photos2/2023/I/0/1/p/5623/314/406/5623314406_1_1_3.jpg?t=1687439533634
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Sleeveless top,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5123/303/710/5123303710_1_1_3.jpg?t=1687944745681
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Stretch top with thin straps.,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5123/328/650/5123328650_1_1_3.jpg?t=1687271945731
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Oversize short sleeve T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5003/300/800/5003300800_1_1_3.jpg?t=1687934786403
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ribbed crop top,59,https://static.lefties.com/9/photos2/2023/I/0/1/p/1621/325/250/1621325250_1_1_3.jpg?t=1685025090085
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 lace trim strappy tops,49,https://static.lefties.com/9/photos2/2023/I/0/1/p/1123/313/800/1123313800_1_1_3.jpg?t=1686580524497
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Textured short sleeve T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/366/402/1001366402_1_1_3.jpg?t=1680590832589
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ribbed T-shirt,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/1026/307/800/1026307800_1_1_3.jpg?t=1686409198066
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Cropped long sleeve top,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/1029/300/800/1029300800_1_1_3.jpg?t=1686409204658
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 racerback T-shirts,39,null
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 racerback T-shirts,39,null
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ribbed T-shirt,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/5027/301/250/5027301250_1_1_3.jpg?t=1686409198066
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Sporty vest top,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/1166/307/611/1166307611_1_1_3.jpg?t=1683119804481
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ribbed T-shirt,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/5027/301/250/5027301250_1_1_3.jpg?t=1686409198066
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Sleeveless top,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5123/303/609/5123303609_1_1_3.jpg?t=1687944745681
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ribbed crop top,59,https://static.lefties.com/9/photos2/2023/I/0/1/p/1621/325/300/1621325300_1_1_3.jpg?t=1685025090085
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Rustic T-shirt in two materials,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/358/502/1001358502_1_1_3.jpg?t=1687249816029
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Stretch top with thin straps.,29,null
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Oversized short sleeve T-shirt,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/5003/317/250/5003317250_1_1_3.jpg?t=1687934788540
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Sleeveless top,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5123/303/526/5123303526_1_1_3.jpg?t=1687944745681
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,2-Pack of basic cropped T-shirts,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/1010/321/250/1010321250_1_1_3.jpg?t=1674806178843
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Oversized short sleeve T-shirt,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/5003/317/048/5003317048_1_1_3.jpg?t=1687934788540
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Cropped seamless T-shirt,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/5013/304/619/5013304619_1_1_3.jpg?t=1687963744962
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 basic round neck T-shirts,39,null
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Oversize short sleeve T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5003/300/526/5003300526_1_1_3.jpg?t=1687934786403
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Oversize short sleeve T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/1001/303/803/1001303803_1_1_3.jpg?t=1687934786403
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Sleeveless top,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/1121/303/803/1121303803_1_1_3.jpg?t=1687944745681
